"","RCT","IPSW","IPSW.norm","Stratification.n.10","G.formula","AIPSW","CW","ACW","n","m","param_RCT","outcome"
"446",-9.50369753851466,27.59207113782,4.0094088773548,NA,11.8974322750173,14.3031029621046,3.10393955141361,27.6548525886482,1000,10000,"strongbias","wrong"
"447",-6.0727233182662,22.6315097692584,19.9782553657289,30.5969948249185,20.165260033123,28.0352392876863,21.8569185868655,27.4927802090509,1000,10000,"strongbias","wrong"
"448",-6.77112866066331,37.8917073747636,52.9905860703958,39.0891612194983,21.0924426182563,40.6176650282842,50.3379794383404,27.4366140428816,1000,10000,"strongbias","wrong"
"449",-11.8135501561399,41.7840923409005,24.2659344339989,31.3846132020878,19.1971140031279,27.4814119874671,21.5688649248941,26.9222212548973,1000,10000,"strongbias","wrong"
"450",-8.74425165779971,15.4814591246592,20.3922774005958,NA,18.6438084113259,30.334013919046,15.8897817956311,26.3538554052877,1000,10000,"strongbias","wrong"
"451",-7.90432666388436,21.3847336555551,22.9177770818957,NA,16.3447039119389,23.3543644324103,32.9478800045715,27.5408243256552,1000,10000,"strongbias","wrong"
"452",-7.75514646034937,31.061840680705,37.7366186441086,35.7405777086467,18.5822782495947,32.4144205601853,40.4802517346228,27.4770219499283,1000,10000,"strongbias","wrong"
"453",-6.53035167156577,36.0922814567124,29.3853442924112,29.3450407245875,18.8569109104944,29.6022793323706,27.9321896217298,26.2412930291344,1000,10000,"strongbias","wrong"
"454",-7.75118162531648,22.9628029615346,28.3696799465251,NA,16.0764858377855,20.9066216821288,26.1114844171538,26.9222164773314,1000,10000,"strongbias","wrong"
"455",-9.00266044008477,21.8230775697039,24.4345700988406,27.4264399136094,15.0900746974426,21.6887179444748,21.2451517796454,26.8528035243005,1000,10000,"strongbias","wrong"
"456",-8.86475209474021,29.3330074942259,19.949048108837,11.6942583650118,17.4174810394336,20.9506505763079,21.5232765245397,26.5734419183865,1000,10000,"strongbias","wrong"
"457",-10.0015156174444,23.5494107038674,12.3071194164505,18.4162116978196,15.1884000501726,17.4504205107451,12.1043478036114,27.1799223357689,1000,10000,"strongbias","wrong"
"458",-6.15539679714125,35.3953182196431,31.8629731230549,23.825555843696,24.4624898045499,25.8389998914239,27.2162259139423,27.5756008295606,1000,10000,"strongbias","wrong"
"459",-4.76054547883749,25.8139451669255,27.9192038079019,28.3698334333381,18.4731509414308,21.0958199883146,26.9751344736701,27.0189034891262,1000,10000,"strongbias","wrong"
"460",-10.589910067747,28.9139218133695,29.0187368848078,36.0711484086705,20.6620369278147,30.312167707929,32.7363453983329,28.5401167174022,1000,10000,"strongbias","wrong"
"461",-5.06202628009663,24.945600617808,34.9401872870657,NA,22.0058288490871,32.2909319615021,35.1351910078489,27.1611460792779,1000,10000,"strongbias","wrong"
"462",-8.18230373783857,16.8771145569433,6.66099360218535,11.9726443248274,12.4013478677703,15.3780178398807,18.010651212738,27.9414722808152,1000,10000,"strongbias","wrong"
"463",-5.19927723613664,11.6517326309482,21.6682624281131,NA,19.7584160753151,21.5149416050967,31.6338638038191,26.9523569602727,1000,10000,"strongbias","wrong"
"464",-4.44844787966369,10.3378458561541,18.9505769883612,NA,15.4172272323272,21.8274500774441,22.0415500930617,27.9522060555855,1000,10000,"strongbias","wrong"
"465",-9.54658473457289,1.4314881437407,11.2468149311017,8.89165460413664,13.0081151187854,10.2793050980342,14.9756857385999,27.4530968874574,1000,10000,"strongbias","wrong"
"466",-7.68008408644982,2.00142488620627,16.013010471778,NA,15.305654539409,19.1094969870326,24.424351615792,27.6130035767772,1000,10000,"strongbias","wrong"
"467",-8.28250378924508,12.0896608515052,14.1734394548892,15.8968425982368,17.8952089378254,14.9827684742077,14.8205513921278,27.7118722928904,1000,10000,"strongbias","wrong"
"468",-10.6950108179337,19.4233087432364,9.14462292058492,NA,16.6780482502218,19.6178149525101,11.3834262243728,26.4809761792355,1000,10000,"strongbias","wrong"
